jobTitle,companyName,location,pay,category,postedDate,description,jobURL
Business Reporting Analyst,Robert Half,Brisbane QLD(Hybrid),"$130,000 - $160,000 + superannuation",,29/07/2025,"Your Opportunity:You'll join a business that is part of a large, global organisation and report directly to an excellent, and highly experienced, CFO where you'll use your analytical skills to support intelligent business decisions and provide key insights into business performance.This is a position that provides you with exposure across the entire business and will enhance your already strong business partnering capability.CBD based, and with 2-days WFH, this business operates within the technology space and they support a wide range of companies globally.You'll collaborate directly with senior leadership and as your role progresses there is the potential to manage a small team of Analysts in the future.What You'll Do:You'll play a critical role in shaping strategic decisions through insightful dashboards, data visualisations, and performance reporting across the entire business. Your experience will be invaluable in providing greater insights to allow strategic business decisions to be made.Your responsibilities will include:Crafting and maintaining high-impact management reports and dashboardsTranslating complex data sets into clear, actionable insights for senior leadershipDriving performance analysis across KPIs, revenue, costs, and operationsPartnering with stakeholders worldwide to align reporting solutions with business needsContributing to M&A integration and the development of robust financial modelsContinuously improving reporting processes and data integritySupporting budgeting, forecasting, and long-term planning activitiesWhat You'll Bring:You are someone that can bring data to life, and you have expertise in using data visualisation tools like Power BI or Tableau.You possess strong reporting writing skills, and you have exceptional communication skills to relay your findings and analysis to senior level stakeholders. This is a role for a business partner who is as comfortable being into the data as you are explaining it.We would also like you to have exposure to working within an international business environment.Exceptional communication skills.Advanced Excel proficiency and confidence using data visualisation tools like Power BI or Tableau.Strong report writing abilities, with the clarity to inform and the insight to influence.Proven experience working with or within an international business environmentA background in FP&A, business analytics, or similar could be beneficialInterview process:This is a 2-stage process which will commence ASAP and will include Teams with international stakeholders.Apply TodaySubmit your CV directly via email to Stewart Selwood onstewart.selwood@roberthalf.com.auor by pressing the Apply button.By clicking 'apply', you give your express consent that Robert Half may use your personal information to process your job application and to contact you from time to time for future employment opportunities. For further information on how Robert Half processes your personal information and how to access and correct your information, please read the Robert Half privacy notice: https://www.roberthalf.com/au/en/privacy. Please do not submit any sensitive personal data to us in your resume (such as government ID numbers, ethnicity, gender, religion, marital status or trade union membership) as we do not collect your sensitive personal data at this time.",https://www.seek.com.au/job/86079365&ref=search-standalone
Business Analyst,Troocoo,Brisbane QLD(Hybrid),,,29/07/2025,"An exciting opportunity exists for a skilledBusiness Analystto support a high-impact project aimed at improving how data is captured, managed, and delivered across key systems and processes.This role will support a major reform initiative focused on modernising systems and ensuring data readiness to meet evolving business and external requirements.Working closely with a dedicated project team, you will provide analysis, documentation, and implementation support across multiple workstreams. Your work will directly inform the design and execution of business processes and system enhancements.Key ResponsibilitiesConduct detailed analysis of policies, processes, and data standards to assess potential impacts of changeIdentify and document tasks, timelines, and resource needs across various workstreamsMap current and future-state processes to support efficiency and clarity in operationsDevelop clear, high-quality documentation for technical and non-technical stakeholdersContribute to project implementation planning and coordination across teamsCollaborate with stakeholders to support solution design and change deliveryEnsure data requirements are mapped and aligned to external data standardsAdhere to relevant organisational policies and proceduresParticipate in required training and development activitiesMaintain a safe, secure, and compliant work environmentEnsure responsible handling and protection of information assetsSupport risk management practices and contribute to a positive team culturePerform other duties as required to support project deliveryQualifications & SkillsRequired:Bachelor's degree in a relevant field, orCertification in Business Analysis (e.g., BABOK, CBAP, CCBA), orCert IV / Diploma in Business Analysis, or equivalent practical experienceProficiency with Atlassian tools (JIRA)Understanding of Agile/Scrum methodologiesMinimum 5 years in a similar Business Analyst or systems/project analyst roleStrong experience in business process analysis, requirement gathering, and documentationHigh proficiency with Microsoft Office suiteExcellent communication and stakeholder engagement skillsDesirable:Experience working on data integration or transformation projectsBackground in systems supporting transactional or registry-style operationsExposure to enterprise-level data standardsWhy Join Us?Be part of a project driving real, meaningful digital and data changeCollaborate with a motivated and professional teamWork in a flexible hybrid environmentGain experience across data-driven reform and system optimisation initiativesApply nowto join a forward-thinking environment where your expertise helps shape smarter, more efficient processes through technology and data.",https://www.seek.com.au/job/86082805&ref=search-standalone
Flight Analyst,Virgin Australia,Brisbane QLD,,,29/07/2025,"Hello. We?檙e Virgin Australia. We?檙e the airline that?檚 always done things a little different. Our way. The Virgin way. We?檙e on a mission to make flying better than ?榥ice?? And to do that, it takes a team of talented people who are passionate about customer experience, doing the right thing always, with a focus on safety ??in the air, on the ground and in our workplaces. A team who values real diversity and inclusion, in a big brand with big ambitions.This is a fixed term, 12 month contract.Candidates must be Brisbane based or willing to relocate.About the role:Based out of the Virgin Australia HQ in South Brisbane, theFlight Analystexists within the Commercial Division and will take charge of optimising revenue outcomes for your portfolio and our wider network. Your focus will involve skilfully managing demand forecasts, class availability, and flight operations through our advanced Revenue Management Systems (Revenue Optimiser (RO), SSI). From 331 days before departure all the way through until the day of departure, you will oversee all flights within your portfolio.Leveraging your analytical prowess, you will conduct thorough market and competitor analyses, identifying trends that will drive strategies.With ownership of your portfolio, you will collaborate proactively with various departments, consistently proposing enhancements to amplify revenue results across approximately 6 markets. This role offers a unique opportunity to wield direct influence over revenue outcomes and contribute significantly to the overall prosperity of the company.Achieve market performance targets/budgets for an identified set of marketsEnsure the demand forecast is optimal, and the correct strategies are in place across your portfolio of markets to achieve the best revenue outcome at the network level (both leg & O&D level)Utilise all available reports and external sources to understand your market performance and the economic environment in which it is operating.Use the understanding of your markets to define and implement strategies in the revenue management systems (RO, SSI)Track success of strategies implemented and share resultsWork in conjunction with the Commercial Analytics team in the creation or enhancement of existing reports to guide strategies and measure performanceContinually review your flight level forecasts to ensure that they reflect the optimal settings given the current environment and performance.Conduct pre- and post-departure analysis adjust demand forecasts as appropriate and communicate results.Involvement in budgeting and business planning process as required.What we're looking for:Commercial experience in a numerical or analytical roleAirline Revenue Management (or other travel industry) experienceCommercial airline experienceRO system user experienceSabre SSI and/OR other RM system experienceIntermediate ExcelExperience in business analysis, business process mapping and process improvementDemonstrated experience in business application change controlDemonstrated experience in supporting and implementing change control processesExperience in liaising with a broad range of internal and external customers to deliver the required solution or projectWhat you?檒l get from us:We?檙e committed to looking after you, with some of the best benefits and conditions in the industry ??including (but not limited to);Heavily discounted air travel for you and your loved ones (including $1000 worth of travel credits per year).Flexible working arrangements (including work hours and work from home).Discounts on travel insurance, car hire, accommodation and experiences worldwide.Discounted Virgin Australia Lounge membership.Hospitality, retail, technology, beauty services and wellness discounts.A comprehensive Employee Assistance Program, which offers confidential coaching and support from qualified professionals for all aspects of life ??physical, mental, social and financial.Dress for Your Day ??enjoy the freedom to wear whatever is appropriate for the type of work you do and the day you have ahead of you.Equality rulesWe?檙e all individuals. We love that. That?檚 why we encourage applications from Indigenous Australians, people with disability, those from diverse cultural backgrounds, our friends in the LGBTQI+ community, and anyone else who wants to join our family.Ready to apply?We?檙e ready to hear from you. Apply now.",https://www.seek.com.au/job/86081658&ref=search-standalone
Technical Business Analyst,Troocoo,Brisbane QLD(Hybrid),,,29/07/2025,"We?檙e seeking a highly capable Technical Business Analyst with a strong focus on data and system optimisation for a key program of work within a Queensland Based Organisation with Offices located in the heart of Brisbane CBD.This role is ideal for someone who thrives in analysing complex datasets, mapping data requirements, and working across technical teams to deliver scalable solutions.This role is central to driving accurate data capture, system integration, and improved decision-making through quality information flows.Key Responsibilities of the Technical Business Analyst will be as required:Analyse and define technical and functional data requirements across systems and business processesMap current and future state data flows, schemas, and system interactionsWork with technical teams to translate business needs into data-driven solutionsIdentify gaps in data quality, structure, and governancePrepare detailed documentation including data dictionaries, requirement specifications, and process mapsUse tools such as JIRA and Confluence to track deliverables, user stories, and system changesSupport data-related testing, validation, and quality assuranceCollaborate with cross-functional teams to ensure system alignment with business objectivesTo be considered for this role, we are seeking the following key areas of expertise:5+ years??experience in a technical business analyst, data analyst, or systems analyst roleStrong understanding of data structures, integration points, and reporting requirementsExperience with data mapping, transformation rules, and API/interface documentationProficiency with SQL or data analysis toolsExperience working across both technical and non-technical stakeholder groupsExcellent process mapping, requirement gathering, and documentation skillsStrong knowledge of JIRA, Confluence, and Agile delivery methodsStrong communication and stakeholder engagement capabilitiesDesirable:Experience working in cloud-based data environmentsExposure to enterprise data platforms or registry/transactional databasesKnowledge of data governance, privacy, or metadata frameworksCertifications in Business Analysis or AgileWhy join us?Help shape and optimise how data is captured, managed, and usedBe part of a forward-thinking, high-impact transformation programEnjoy flexible hybrid working arrangementsWork with talented professionals in a supportive, agile environmentApply nowto be part of a team driving real digital and data-driven change. If you're passionate about translating complex data into clear business insights and technical solutions, we want to hear from you.",https://www.seek.com.au/job/86081098&ref=search-standalone
Financial Analyst,Teys Australia Pty Ltd,"Eight Mile Plains, Brisbane QLD",Attractive salary + access to company benefits,,29/07/2025,"About UsTeys Australia is an innovative Australian food business with
home grown pride and global reach. Drawing on more than 70 years??experience in
the beef industry, our team of over 4,500 focus their energy and expertise on
delivering value to our communities, customers, and consumers.As one of the leading beef processors and exporters in
Australia, we are a proud partner to over 7,000 Aussie beef producers and some
of the largest names in fresh food retailing in the country. In a joint venture
with Cargill, Teys Australia has retained its strong founding family
connections and it is this rich heritage that drives our future.OurValues:Humility, Integrity, Loyalty, Resilience,
Trust & CooperationAbout the RoleTeys Australia
is seeking aFinancial Analystto join our dynamic team inEight Mile
Plains, Brisbane.The role will be responsible for collaborating with key
stakeholders to develop financial reports, perform data analysis, support forecasting
activities, and assist with projects according to business needs.The
successful candidate will analyse and evaluate the company?檚 historical &
macroeconomics data, provide data insights to guide strategic business
decisions as well as support financial performance analysis across the
organisation.This is an
excellent opportunity for an individual seeking either a part-time or full-time
position, who is eager to develop and apply analytical skills across different
areas of the business whilst building strong relationships with great leaders in
the red meat industry.About YouIt isessentialthat
you have the following experience/skills:Undergraduate
Finance/Accounting (or related discipline) degreeIntermediate
to advanced skills in Microsoft Excel and WordPersonal
qualities of integrity, reliability, and commitment with a sense of
confidentialityHighly
developed written and verbal communication skills.Strong
organisational and interpersonal skillsAbility
to work autonomouslyDesirablePrevious
knowledge and interest in the livestock, agricultural, and food manufacturing
industriesTableau
and or Microsoft Power BI exposureWhat?檚 in it for YouAttractive
salary packageAccess
to our fabulous annual meat allowanceInjury/Illness
salary continuance schemeAccess
to Employee Assistance Program (EAP) with counselling services for you and your
familyAccess
to a variety of discounts: health insurance and retailersTo ApplyIf you are
looking for an opportunity to work in a collaborative environment within a
growing business offering excellent career development and opportunities, we
encourage you to APPLY today.For a
confidential discussion about this role, please phoneLuisa Hamze
on0417 849 336.We are
connected socially so check us out at?www.teysgroup.com.au or join us at
https://www.facebook.com/TeysAustralia.",https://www.seek.com.au/job/86080557&ref=search-standalone
Workday Functional Specialist,Ramsay Health Care,Brisbane QLD(Hybrid),,,29/07/2025,"The OpportunityOur People Systems group is expanding, and we?檙e thrilled to offer an exciting opportunity for a Workday Functional Specialist to play a pivotal role in shaping our people systems landscape! Reporting to the People Systems Manager, you'll leverage your extensive Workday expertise to drive key business process decisions within the People, Systems & Culture team. You'll be instrumental in designing and delivering Workday solutions across areas like Core HR, Compensation, and Leave & Absence, while also acting as a trusted advisor, sharing best practices, and empowering users to maximise the platform's potential. If you're passionate about Workday and enjoy tackling complex challenges with practical, impactful solutions, we want to hear from you!Please note that this is a hybrid role open to candidates based in Brisbane, Sydney, or Melbourne.What You?檒l DoServe as the Workday subject matter expert, collaborating with key internal stakeholders to gather requirements, propose solutions, and lead change initiatives.Align business objectives with Workday functionality to facilitate planning, process optimisation, and system enhancements.Assess Workday releases for opportunities to enhance processes, manage system configurations, and ensure changes are scalable and effective.Provide day-to-day support for Workday, ensuring system improvements, data accuracy, security, compliance, and well-documented processes.Deliver user training, promote Workday adoption, and assist with testing and integration activities.Maintain Workday master data, manage complex queries, and contribute to team projects and ongoing continuous improvement efforts.What You?檒l BringTo excel in this role, you will bring a balanced combination of technical expertise, business acumen, and strong interpersonal skills. You will need to demonstrate solid analytical and problem-solving capabilities, excellent communication, and a comprehensive understanding of Workday?檚 functionality and its impact on business outcomes. A collaborative mindset, adaptability, and a dedication to continuous learning will be essential to your success.Your Skills and ExperienceProven expertise in Workday CoreHR, particularly in managing Supervisory Organisations, Positions, and Worker data.Exposure to the Compensation module, along with experience in at least one other Workday functional area (highly desirable).Strong understanding of HR processes and employee data management, with hands-on experience supporting HR systems and operations.Exceptional communication skills, with the ability to collaborate effectively with HR stakeholders, IT, and cross-functional teams, translating technical details into business-focused language.High attention to detail, sound judgment, and the ability to accurately gather, interpret, and respond to business requirements.Proven ability to manage multiple projects and competing priorities in a fast-paced, dynamic environment.Proactive and results-driven, with a strong sense of ownership, accountability, and the ability to quickly adapt to deliver impactful outcomes.BenefitsCompelling salary and an extensive benefits package that recognise and reward your valuable contributions while supporting your overall well-being.Enhance your career trajectory through a wealth of professional development initiatives and clearly defined pathways for advancement, empowering you to realise your full potential within our organisation.Enjoy access to a premier rewards platform that offers exceptional discounts and privileges from renowned retailers, enriching your lifestyle both personally and professionally.Embrace the opportunity to drive transformative change in the delivery of high-quality healthcare services, making a significant contribution to the evolution of our industry for the better.About Ramsay Health CareFounded in Australia in 1964, Ramsay Health Care is the country?檚 largest private hospital operator and a global leader in healthcare excellence. With 73 cutting-edge hospitals and surgery centres, we provide care to over 1.1 million patients annually, supported by a dedicated team of more than 30,000 professionals across Australia. Our core value,?淧eople Caring for People,?漞mbodies our commitment to delivering exceptional patient care, fostering strong relationships, driving continuous improvement, and achieving sustainable growth. In addition to our extensive hospital network, we also operate two public facilities, including Joondalup Health Campus, and a community pharmacy network with over 35 locations. Guided by?淭he Ramsay Way,?漮ur culture prioritises our people, cultivating a collaborative environment that empowers employees to deliver outstanding outcomes for both patients and communities.To ApplyAll applications should include your CV outlining your experience and skills in line with the above criteria. Applications close Monday 25th August 2025. Please note that we may begin interviews before the advertised closing date, so we encourage you to apply as soon as possible.Ramsay Health Care is committed to Child Safety. Details of our commitment are set out in our Code of Conduct, available atwww.ramsayhealth.com",https://www.seek.com.au/job/86087045&ref=search-standalone
Financial Analyst,Humero,Brisbane QLD,"Salary guideline $110,000 - $120,000 + Super",,29/07/2025,"The CompanyAn exciting opportunity to step into an impactful Financial Analyst role within a dynamic and growth focused organisation.? This respected industry leader is seeking a commercially astute Financial Analyst to support key decision making through clear, data driven insights and best practice reporting.The RoleThis is a broad and varied role ideal for someone who thrives on analysis, stakeholder engagement, and continuous improvement.Key responsibilities include:Preparing and analysing detailed financial and commercial reportsSupporting the month-end close and regulatory reporting requirementsAssisting with annual budget and quarterly forecast processesConducting incentive calculationsPreparing capital expenditure (Capex) forecasts and cashflow trackingAssisting with board reporting and performance presentationsProviding insights and modelling for ad-hoc strategic projectsAbout YouDegree in Accounting, Finance, Economics, or a related field2?? years' experience in a financial analyst, commercial finance, or FP&A roleExcel and solid systems experienceStrong analytical and communication skillsA proactive approach with the ability to manage deadlines and stakeholdersStrong attention to detail with a strategic mindsetWhat?檚 on OfferA career defining opportunity within a high performing finance team with diverse responsibilities and exposure to senior stakeholders.? Flexible working arrangements and a supportive culture; and the opportunity to make a tangible impact in a growing business.How to ApplyTo express an interest, apply below or for a confidential discussion please reach out to Daniel Careless ond.careless@humero.com.au|0411 955 700.",https://www.seek.com.au/job/86089609&ref=search-standalone
AML Investigations Analyst,BOQ Group,Brisbane QLD,True hybrid working | 50/50 WFH + office based,,29/07/2025,"About the RoleIf you're someone who thrives on uncovering patterns, connecting dots, and making sense of complex data to protect the integrity of financial systems?攖his role is calling your name.As an AML Investigations Analyst at BOQ Group, you?檒l be part of a high-performing team that?檚 laser-focused on identifying and investigating suspicious activity across our retail and institutional banking products. You?檒l dive deep into transaction monitoring alerts, Unusual Activity Reports (UARs), and referrals from our Fraud and Scam teams, using your analytical mindset to assess behaviours and flag anything that doesn?檛 sit right.Your work will directly support our Suspicious Matter Reporting (SMR) obligations to AUSTRAC, and you?檒l be instrumental in ensuring our investigations are structured, well-documented, and delivered with precision. You?檒l be working in alignment with our Financial Crime Strategy and AML/CTF regulatory obligations, helping us stay one step ahead of emerging risks and typologies.There?檚 also room to stretch beyond the day-to-day?攚hether it?檚 contributing to continuous improvement initiatives or supporting broader Financial Crime Operations projects. If you?檙e ready to make a meaningful impact and be part of a team that?檚 passionate about doing things the right way, we?檇 love to hear from you.About youYou ??our preferred candidate, you?檝e got experience in a similar role and a solid understanding of the AML/CTF landscape, you know how to interpret transaction data, and how to build a case that stands up to scrutiny. You?檙e confident navigating financial crime processes, and you understand the responsibilities of key regulators and the importance of timely, accurate reporting.You have worked in banking operations or operational risk before, and if you?檝e submitted SMRs or hold qualifications like ACAMS, ICA, or CCP, that?檚 a bonusYou?檙e a natural communicator?攚hether it?檚 writing up investigation findings or collaborating with stakeholders across the business. You?檙e curious, methodical, and have a knack for critical thinking. You know how to manage priorities, work independently, and contribute meaningfully to a team.But more than anything, you bring a proactive mindset, a genuine interest in financial crime risk, and a desire to grow your career in a place that values integrity, collaboration, and purpose. If this sounds like you, we would love to hear from you!About UsBOQ Group is a truly unique group of challenger brands with a purpose ??to provide a genuine alternative to Australian financial services for customers and employees.Our family of brands (Bank of Queensland (BOQ), ME Bank, Virgin Money Australia, BOQ Specialist), each come with their own defined customer audience and brand personality, but share one goal ??to build social capital through banking. That?檚 creating trust with customers, exploring staff potential and believing that tiny gestures and big ideas can change the world for communities.BOQ Group?檚 inclusive vision is to foster a workspace that values and leverages difference and creates new possibilities, a place where our people feel confident to bring their best selves to work every day. We embrace difference and believe that our workforce should reflect the customers and communities that we serve.Since 2021, BOQ Group is recognised as an Employer of Choice for Gender Equality by the Workplace Gender Equality Agency (WGEA).In 2023, we successfully implemented an innovative Reconciliation Plan, driving positive change and promoting inclusivity across BOQ Group.Our PerksAt BOQ Group, we are passionate about creating an exceptional work environment that nurtures both your professional and personal growth. Our comprehensive benefits package is designed to enhance your well-being, provide financial security, and foster a sense of community and inclusion. Here are just some of the fantastic perks you can enjoy as part of our team:Flexible working arrangement- Balance your work and personal life with ease.Discounted financial products- Enjoy exclusive rates on our financial services across the Group.Salary sacrificing options- Maximise your take-home pay with our salary packaging options.Paid parental leave with no minimum requirements- Spend quality time with your new family member without any worries.Purchase additional annual leave- Need more time off? You can buy extra leave days.Discounted private health insurance plan- Take care of your health with our special rates.Employee Assistance Program (EAP)- Access confidential support for personal and professional challenges for you and your familyAccess to employee network groups- Connect with peers through our First Nations Reconciliation, LGBTQIA+, Multicultural, Gender, Early Careers, and accessibility groups.Pride in Diversity membership: We are proud members of Pride in Diversity and actively participate in the Australian Workplace Equality Index.We are committed to creating a workplace where everyone feels valued and supported. Join us and be part of a company that truly cares about its people and community!How to ApplyTo apply for this role at #boqgroup,?follow the links or apply via our Careers Page.BOQ Group?is committed to diversity and an inclusive workforce. Aboriginal and Torres Strait Islander People are encouraged to apply.We celebrate, value and include people of all backgrounds, gender and expressions, sexualities, cultures, bodies and abilities. When you apply, you are welcome to tell us the pronouns you use and please let us know any reasonable adjustments you may need during the interview process.If you are successful for a role with BOQ Group, it is a condition of employment that background screening is completed to ensure that the Bank complies with its obligations under the Anti-Money Laundering and Counter Terrorism Financing Act. These checks may include, but are not limited to: identity, verification, reference checks, criminal background checks, immigration checks, verification of academic qualifications, bankruptcy checks.Please no agency applications.",https://www.seek.com.au/job/86082522&ref=search-standalone
Head of Risk Analytics & Reporting,Heritage and People's Choice,Brisbane QLD(Hybrid),,,29/07/2025,"Lead meaningful transformation at scale across the enterprise.Supportive, values-driven culture with strong executive commitment to risk excellence.Hybrid work model that supports work-life balance.About the roleAs we shape the future of People First Bank, we?檙e looking for an experienced and visionary Head of Risk Analytics & Reporting to lead the enterprise-wide development and execution of risk data, analytics, and reporting strategies.This newly created leadership role offers the unique opportunity to influence our risk culture from the ground up and shape how we manage and interpret risk across our changing organisation.As the Head of Risk Analytics and Reporting, you?檒l be responsible for delivering high-quality, timely and actionable risk insights that support decision-making at every level. You?檒l lead a small team of risk specialists to create robust, data-driven reporting frameworks, embed a comprehensive risk data strategy, and leverage AI and automation to enhance analytics capability and risk intelligence across the enterprise.What You?檒l Be DoingLeading the design and implementation of our enterprise risk data, reporting, and analytics strategy.Building and continuously enhancing a suite of standardised risk dashboards and reports to inform executive, Board and regulatory decision-making.Partnering with Line 1 and Risk domain leaders to deliver on the Risk Management Strategy and uplift our frameworks.Utilizing predictive analytics and emerging technologies to proactively identify risks and support forward-looking decision-making.Representing People First Bank in regulatory interactions relating to risk data and reporting.Ensuring our risk reporting is accurate, insightful, timely, and aligned with our business strategy and risk appetite.Acting as Data Steward for Group Risk, with responsibility for lifecycle management of Governance Risk and Compliance (GRC) platforms and model validation.About YouYou are an experienced risk leader with a collaborative approach who combines strategic thinking with deep technical knowledge. You are passionate about risk analytics and its potential to transform how we manage risk and drive performance.Your Skills and ExperienceSubstantial experience in financial services risk with deep expertise in risk analytics and reporting.Strong understanding of regulatory and compliance obligations in financial services.Demonstrated experience working with GRC systems and developing reporting frameworks.Proven ability to engage, influence and communicate effectively with senior stakeholders.Experience leading teams and uplifting risk culture.Strategic mindset with a practical, performance-driven approach to execution.A curious, collaborative and accountable leadership style aligned to PFB?檚 values.Completion of formal tertiary qualifications in business, risk, management or technology is also essential.Why you?檒l love working with us:People First Bank ??our new brand ??says exactly what we?檙e all about: people. We're committed to supporting and growing our team and creating an outstanding work environment.You?檒l have access to financial and lifestyle benefits to support your success and individuality:Flexibility and hybrid working arrangements.Extend your salary with discounts on banking, health insurance, and shopping across Australia.Advance your career with training, study support, and project opportunities.Competitive leave benefits that empower employees to take time for themselves and loved ones.Wellbeing support with our Employee Assistance Program, wellbeing leave, mental health app, and mental health ambassadors??program.Make a difference with paid volunteering, Workplace Giving, and diverse community initiatives.Be recognised for your contributions through our peer-driven recognition program.A bit about People First Bank:In March 2023, People?檚 Choice and Heritage Bank merged to form Heritage and People?檚 Choice Limited - Australia's leading mutual bank.? We are now on an exciting journey to bring together our products, services, and technology under a single brand -?People First Bank.We have over 700,000 members and 1,900 employees, with dual head offices in Adelaide and Toowoomba, an Australian-based contact centre and branches across five states.With a vision ?楾o deliver positive change through banking?? People First Bank serves members and contributes to the community, while offering an inclusive, flexible work environment. We?檙e big enough to make an impact; but agile enough to influence and do interesting work.Apply online now:If you are ready to join a supportive team who are passionate about the work they do and the results they achieve, then apply now.If this sounds like you, this could be the next step in your career. Click 'Apply' now and submit your application.We are committed to diversity and inclusion and support candidate requests for adjustments to enable everyone to equitably participate in our selection process.",https://www.seek.com.au/job/86083383&ref=search-standalone
Informatics Officer,Metro South Health,"Cleveland, Brisbane QLD","$90,832 to $100,071 per annum",,29/07/2025,"Your new Role:Join us as an Informatics Officer, supporting data quality and patient safety across Bayside Health. You'll work with clinical teams, resolve data issues, and help drive continuous improvement in a fast paced, team focused environment.About you:Have excellent verbal and written communication skills to liaise confidently with clinical and administrative teamsUse strong analytical and problem solving skills to investigate and resolve data discrepancies across multiple health systems through hospital information systems and audit trails.Work both independently and collaboratively to achieve team objectivesBuild and maintain positive relationships across multidisciplinary teams and stakeholdersBe passionate about accuracy, quality, and continuous improvement in health dataWhat we can offer you:Flexible working arrangements like flex time, leave options, and reduced hours to support work life balance.Collaborative, supportive team environment focused on innovation and continuous improvement.Access to advanced health information systems and technologies.Connection to leading tertiary institutions through renowned teaching and research programs.Benefits of Queensland's public health system including generous leave, competitive salary, salary packaging, professional development support, study assistance, corporate discounts, and wellness programs.Redland Hospital:Redland Hospitalis the major health centre for adults and children in the Redlands and Brisbane's southern bayside suburbs. We provide a range of services including emergency care, primary health and minor injury care, acute and subacute medicine, general surgery, maternity and paediatric, mental specialist outpatient and mental health care.It's an exciting time as our Redlands Coast community grows bringing a diverse range of patients & an opportunity to make a real difference in the community. With more beds, new and expanding services the Redland Hospital expansion provides a range of opportunities to pursue and build a long-term career, enjoy a supportive work environment, professional growth opportunities, and a vibrant community!Now's the time to join the team at Redland Hospital! You'll have all the benefits of working for a growing metropolitan hospital.INTEGRITY | COMPASSION | ACCOUNTABILITY | RESPECT | ENGAGEMENT | EXCELLENCEOur valueswere created by employees for employees to shape our culture and inspire positive interactions in the workplace. Diversity of ideas, skills, traditions, and customs is celebrated as one of our greatest strengths. Having a workforce that reflects and understands the needs and expectations of our community is important to delivering safe, kinder, and more inclusive care.We recognise ourstrengthcomes from thediversity of our peopleand so we encourage people of all genders, ethnicities, ages, abilities, languages, sexual orientation, and family responsibilities to apply.We are Metro South Health:We are the major public healthcare provider for Brisbane's south side, Logan, Redlands, and the Scenic Rim operating five major hospitals and a range of community, specialty, and state-wide healthcare services.We are bold, innovative, collaborative, inspiring. We save lives, change lives, and make the world a better place. We are part of and proud of the community we serve.We arebetter together.",https://www.seek.com.au/job/86085162&ref=search-standalone
